month,day,hr,total_volume
1,19,15,3175
1,19,16,3181
1,19,17,3308
1,19,18,3319
1,19,19,2189
1,19,20,1627
1,19,21,1401
1,19,22,1119
1,19,23,856
1,19,24,720
1,20,1,583
1,20,2,498
1,20,3,436
1,20,4,448
1,20,5,548
1,20,6,847
1,20,7,1419
1,20,8,1558
1,20,9,1390
1,20,10,2284
1,20,11,2762
1,20,12,2933
1,20,13,3001
1,20,14,3007
1,20,15,3180
1,20,16,3338
1,20,17,3734
1,20,18,3555
1,20,19,2352
1,20,20,1940
1,20,21,1416
1,20,22,1204
1,20,23,986
1,20,24,766
1,21,1,575
1,21,2,546
1,21,3,442
1,21,4,465
1,21,5,543
1,21,6,801
1,21,7,1316
1,21,8,1936
1,21,9,2133
1,21,10,2330
1,21,11,2846
1,21,12,2921
1,21,13,2980
1,21,14,3115
1,21,15,3097
1,21,16,3077
1,21,17,3097
1,21,18,3389
1,21,19,1955
1,21,20,1881
1,21,21,1599
1,21,22,1183
1,21,23,1116
1,21,24,826
1,22,1,614
1,22,2,504
1,22,3,482
1,22,4,447
1,22,5,523
1,22,6,766
1,22,7,1176
1,22,8,1789
1,22,9,2064
1,22,10,2072
1,22,11,2701
1,22,12,2969
1,22,13,3105
1,22,14,3062
1,22,15,3495
1,22,16,3784
1,22,17,3604
1,22,18,3353
1,22,19,2336
1,22,20,2039
1,22,21,1674
1,22,22,1309
1,22,23,1169
1,22,24,1020
1,23,1,702
1,23,2,552
1,23,3,529
1,23,4,529
1,23,5,624
1,23,6,864
1,23,7,1156
1,23,8,1494
1,23,9,2036
1,23,10,2290
1,23,11,2503
1,23,12,2739
1,23,13,3056
1,23,14,3320
1,23,15,3191
1,23,16,3303
1,23,17,3349
1,23,18,3020
1,23,19,2549
1,23,20,2005
1,23,21,1636
1,23,22,1436
1,23,23,1577
1,23,24,1221
1,24,1,898
1,24,2,723
1,24,3,655
1,24,4,635
1,24,5,584
1,24,6,660
1,24,7,905
1,24,8,1276
1,24,9,2002
1,24,10,2303
1,24,11,2148
1,24,12,2121
1,24,13,2565
1,24,14,2436
1,24,15,2443
1,24,16,2296
1,24,17,2119
1,24,18,2102
1,24,19,1847
1,24,20,1660
1,24,21,1553
1,24,22,1280
1,24,23,960
1,24,24,1109
1,25,1,844
1,25,2,702
1,25,3,660
1,25,4,624
1,25,5,531
1,25,6,561
1,25,7,645
1,25,8,974
1,25,9,1493
1,25,10,2096
1,25,11,2319
1,25,12,2323
1,25,13,2956
1,25,14,2840
1,25,15,2758
1,25,16,2665
1,25,17,2549
1,25,18,2247
1,25,19,1857
1,25,20,1520
1,25,21,1372
1,25,22,1175
1,25,23,1059
1,25,24,880
1,26,1,662
1,26,2,494
1,26,3,471
1,26,4,487
1,26,5,554
1,26,6,947
1,26,7,1544
1,26,8,1772
1,26,9,2248
1,26,10,2538
1,26,11,2603
1,26,12,2882
1,26,13,3057
1,26,14,3280
1,26,15,3419
1,26,16,3461
1,26,17,3667
1,26,18,3194
1,26,19,2418
1,26,20,1586
1,26,21,1270
1,26,22,1070
1,26,23,883
1,26,24,698
1,27,1,577
1,27,2,500
1,27,3,498
1,27,4,443
1,27,5,489
1,27,6,795
1,27,7,1217
1,27,8,1767
1,27,9,1666
1,27,10,2128
1,27,11,2285
1,27,12,2252
1,27,13,2825
1,27,14,2652
1,27,15,3016
1,27,16,2629
1,27,17,3355
1,27,18,2980
1,27,19,2070
1,27,20,1823
1,27,21,1415
1,27,22,1148
1,27,23,952
1,27,24,782
1,28,1,644
1,28,2,503
1,28,3,494
1,28,4,448
1,28,5,515
1,28,6,800
1,28,7,1308
1,28,8,1864
1,28,9,1989
1,28,10,2106
1,28,11,2708
1,28,12,2536
1,28,13,3134
1,28,14,3089
1,28,15,3147
1,28,16,2951
1,28,17,2725
1,28,18,2401
1,28,19,2370
1,28,20,1764
1,28,21,1499
1,28,22,1142
1,28,23,1037
1,28,24,905
1,29,1,582
1,29,2,492
1,29,3,499
1,29,4,523
1,29,5,535
1,29,6,858
1,29,7,1238
1,29,8,2051
1,29,9,1971
1,29,10,2156
1,29,11,2557
1,29,12,2747
1,29,13,3193
1,29,14,3328
1,29,15,3690
1,29,16,3871
1,29,17,3958
1,29,18,3568
1,29,19,2715
1,29,20,2005
1,29,21,1643
1,29,22,1381
1,29,23,1070
1,29,24,820
1,30,1,655
1,30,2,541
1,30,3,470
1,30,4,524
1,30,5,576
1,30,6,850
1,30,7,1266
1,30,8,1956
1,30,9,2344
1,30,10,2546
1,30,11,2888
1,30,12,2984
1,30,13,3536
1,30,14,3142
1,30,15,3512
1,30,16,3521
1,30,17,3161
1,30,18,3000
1,30,19,2086
1,30,20,1849
1,30,21,1527
1,30,22,1363
1,30,23,1430
1,30,24,1101
1,31,1,802
1,31,2,664
1,31,3,624
1,31,4,630
1,31,5,592
1,31,6,645
1,31,7,791
1,31,8,1388
1,31,9,2014
1,31,10,2543
1,31,11,2327
1,31,12,2600
1,31,13,2806
1,31,14,3068
1,31,15,2959
1,31,16,3175
1,31,17,2368
1,31,18,3111
1,31,19,1837
1,31,20,1813
1,31,21,1675
1,31,22,1369
1,31,23,1436
1,31,24,1144
2,1,1,906
2,1,2,761
2,1,3,729
2,1,4,653
2,1,5,548
2,1,6,559
2,1,7,640
2,1,8,1052
2,1,9,1572
2,1,10,1937
2,1,11,2239
2,1,12,2594
2,1,13,2886
2,1,14,3134
2,1,15,3157
2,1,16,2980
2,1,17,3117
2,1,18,2434
2,1,19,1962
2,1,20,1448
2,1,21,1182
2,1,22,1021
2,1,23,1361
2,1,24,1074
2,2,1,787
2,2,2,559
2,2,3,489
2,2,4,506
2,2,5,636
2,2,6,1027
2,2,7,1593
2,2,8,1763
2,2,9,2343
2,2,10,2188
2,2,11,2301
2,2,12,2605
2,2,13,2892
2,2,14,2631
2,2,15,1994
2,2,16,1971
2,2,17,2806
2,2,18,3317
2,2,19,2076
2,2,20,1580
2,2,21,1243
2,2,22,1030
2,2,23,895
2,2,24,700
2,3,1,573
2,3,2,480
2,3,3,443
2,3,4,472
2,3,5,555
2,3,6,793
2,3,7,1336
2,3,8,2024
2,3,9,2190
2,3,10,2184
2,3,11,2366
2,3,12,2824
2,3,13,3100
2,3,14,3196
2,3,15,3192
2,3,16,3365
2,3,17,3471
2,3,18,3506
2,3,19,2310
2,3,20,1830
2,3,21,1396
2,3,22,1192
2,3,23,981
2,3,24,788
2,4,1,586
2,4,2,476
2,4,3,451
2,4,4,473
2,4,5,557
2,4,6,784
2,4,7,1320
2,4,8,1694
2,4,9,2269
2,4,10,2262
2,4,11,2547
2,4,12,2827
2,4,13,3139
2,4,14,3410
2,4,15,3640
2,4,16,3424
2,4,17,3715
2,4,18,3494
2,4,19,2073
2,4,20,1885
2,4,21,1593
2,4,22,1200
2,4,23,1159
2,4,24,894
2,5,1,668
2,5,2,534
2,5,3,463
2,5,4,491
2,5,5,513
2,5,6,856
2,5,7,1368
2,5,8,1822
2,5,9,2282
2,5,10,2482
2,5,11,2655
2,5,12,2850
2,5,13,3178
2,5,14,3272
2,5,15,3333
2,5,16,3485
2,5,17,3432
2,5,18,3001
2,5,19,2298
2,5,20,1970
2,5,21,1665
2,5,22,1306
2,5,23,1090
2,5,24,894
2,6,1,648
2,6,2,528
2,6,3,571
2,6,4,528
2,6,5,559
2,6,6,822
2,6,7,1288
2,6,8,1767
2,6,9,2218
2,6,10,2419
2,6,11,2723
2,6,12,2914
2,6,13,3088
2,6,14,3585
2,6,15,3369
2,6,16,3427
2,6,17,3522
2,6,18,3768
2,6,19,2607
2,6,20,2140
2,6,21,1860
2,6,22,1418
2,6,23,1395
2,6,24,1137
2,7,1,858
2,7,2,663
2,7,3,620
2,7,4,634
2,7,5,595
2,7,6,647
2,7,7,847
2,7,8,1547
2,7,9,2322
2,7,10,2525
2,7,11,2347
2,7,12,2242
2,7,13,2749
2,7,14,2689
2,7,15,2684
2,7,16,2469
2,7,17,2462
2,7,18,2499
2,7,19,2063
2,7,20,1709
2,7,21,1543
2,7,22,1421
2,7,23,1473
2,7,24,1499
2,8,1,1009
2,8,2,728
2,8,3,683
2,8,4,654
2,8,5,522
2,8,6,563
2,8,7,687
2,8,8,1304
2,8,9,1817
2,8,10,2063
2,8,11,2228
2,8,12,2374
2,8,13,2970
2,8,14,2754
2,8,15,2720
2,8,16,2710
2,8,17,2923
2,8,18,2564
2,8,19,2456
2,8,20,1823
2,8,21,1619
2,8,22,1285
2,8,23,996
2,8,24,830
2,9,1,658
2,9,2,529
2,9,3,446
2,9,4,459
2,9,5,565
2,9,6,1234
2,9,7,1956
2,9,8,1719
2,9,9,2372
2,9,10,2172
2,9,11,2349
2,9,12,2799
2,9,13,3071
2,9,14,3356
2,9,15,3153
2,9,16,3283
2,9,17,3368
2,9,18,3231
2,9,19,2620
2,9,20,1807
2,9,21,1354
2,9,22,1120
2,9,23,873
2,9,24,731
2,10,1,586
2,10,2,509
2,10,3,494
2,10,4,486
2,10,5,534
2,10,6,805
2,10,7,1370
2,10,8,2064
2,10,9,2342
2,10,10,2490
2,10,11,2428
2,10,12,2684
2,10,13,2962
2,10,14,3041
2,10,15,3160
2,10,16,3079
2,10,17,3055
2,10,18,3057
2,10,19,2684
2,10,20,1704
2,10,21,1462
2,10,22,1286
2,10,23,971
2,10,24,821
2,11,1,539
2,11,2,503
2,11,3,464
2,11,4,468
2,11,5,554
2,11,6,799
2,11,7,1441
2,11,8,2290
2,11,9,2415
2,11,10,2311
2,11,11,2641
2,11,12,2833
2,11,13,3057
2,11,14,3075
2,11,15,3238
2,11,16,2978
2,11,17,2937
2,11,18,2934
2,11,19,2650
2,11,20,1774
2,11,21,1641
2,11,22,1311
2,11,23,1189
2,11,24,938
2,12,1,635
2,12,2,515
2,12,3,512
2,12,4,494
2,12,5,626
2,12,6,918
2,12,7,1357
2,12,8,2172
2,12,9,2312
2,12,10,2357
2,12,11,2535
2,12,12,2874
2,12,13,3376
2,12,14,3287
2,12,15,2718
2,12,16,3555
2,12,17,3475
2,12,18,3353
2,12,19,2558
2,12,20,1987
2,12,21,1701
2,12,22,1400
2,12,23,1243
2,12,24,952
2,13,1,659
2,13,2,553
2,13,3,557
2,13,4,524
2,13,5,600
2,13,6,915
2,13,7,1350
2,13,8,2255
2,13,9,2506
2,13,10,2596
2,13,11,2748
2,13,12,2895
2,13,13,3330
2,13,14,3481
2,13,15,3533
2,13,16,3343
2,13,17,3021
2,13,18,3753
2,13,19,2591
2,13,20,2043
2,13,21,1695
2,13,22,1937
2,13,23,1588
2,13,24,1315
2,14,1,987
2,14,2,780
2,14,3,680
2,14,4,632
2,14,5,604
2,14,6,680
2,14,7,945
2,14,8,1687
2,14,9,2242
2,14,10,2407
2,14,11,2331
2,14,12,2386
2,14,13,2759
2,14,14,2837
2,14,15,2719
2,14,16,2707
2,14,17,2639
2,14,18,2997
2,14,19,2374
2,14,20,1870
2,14,21,1828
2,14,22,1641
2,14,23,1456
2,14,24,1241
2,15,1,1068
2,15,2,760
2,15,3,676
2,15,4,656
2,15,5,573
2,15,6,555
2,15,7,666
2,15,8,1263
2,15,9,1776
2,15,10,2024
2,15,11,2169
2,15,12,2416
2,15,13,2766
2,15,14,3006
2,15,15,2940
2,15,16,3274
2,15,17,3180
2,15,18,2854
2,15,19,2190
2,15,20,2130
2,15,21,1558
2,15,22,1328
2,15,23,1131
2,15,24,939
2,16,1,652
2,16,2,535
2,16,3,491
2,16,4,496
2,16,5,558
2,16,6,919
2,16,7,1448
2,16,8,1973
2,16,9,2340
2,16,10,2505
2,16,11,2708
2,16,12,2874
2,16,13,3187
2,16,14,3235
2,16,15,3427
2,16,16,3266
2,16,17,3128
2,16,18,2853
2,16,19,2232
2,16,20,1815
2,16,21,1361
2,16,22,1217
2,16,23,951
2,16,24,795
2,17,1,606
2,17,2,489
2,17,3,449
2,17,4,463
2,17,5,522
2,17,6,779
2,17,7,1231
2,17,8,1511
2,17,9,1985
2,17,10,2110
2,17,11,2025
2,17,12,2318
2,17,13,2661
2,17,14,2914
2,17,15,3134
2,17,16,3206
2,17,17,3511
2,17,18,3353
2,17,19,2480
2,17,20,1845
2,17,21,1532
2,17,22,1256
2,17,23,1002
2,17,24,806
2,18,1,583
2,18,2,565
2,18,3,467
2,18,4,492
2,18,5,556
2,18,6,805
2,18,7,1374
2,18,8,2066
2,18,9,2313
2,18,10,2376
2,18,11,2496
2,18,12,2572
2,18,13,2896
2,18,14,3102
2,18,15,3164
